pnl,win,bars_held,exit_type,timestamp,direction
-34.3,0,1,sl,2025-08-01 13:31:00,bullish
-104.3,0,11,sl,2025-08-01 14:49:00,bullish
73.2,1,4,tp,2025-08-01 18:21:00,bullish
-56.8,0,5,sl,2025-08-01 18:46:00,bullish
-26.8,0,6,sl,2025-08-05 13:13:00,bearish
-44.3,0,4,sl,2025-08-05 13:21:00,bullish
155.7,1,60,tp,2025-08-05 13:34:00,bearish
-136.8,0,100,sl,2025-08-05 14:51:00,bearish
78.2,1,3,tp,2025-08-05 18:51:00,bearish
-54.3,0,3,sl,2025-08-07 18:06:00,bullish
70.7,1,23,tp,2025-08-07 18:31:00,bullish
70.7,1,39,tp,2025-08-07 18:59:00,bullish
23.2,1,3,tp,2025-08-08 18:13:00,bearish
-21.8,0,4,sl,2025-08-08 18:28:00,bearish
13.2,1,1,tp,2025-08-08 18:50:00,bearish
38.2,1,38,tp,2025-08-11 18:07:00,bearish
73.2,1,60,tp,2025-08-11 18:47:00,bearish
-274.3,0,84,sl,2025-08-12 13:56:00,bearish
23.2,1,16,tp,2025-08-12 18:25:00,bearish
-16.8,0,19,sl,2025-08-12 18:49:00,bearish
-29.3,0,11,sl,2025-08-13 18:18:00,bullish
-22.05,0,120,time,2025-08-13 18:59:00,bullish
110.7,1,25,tp,2025-08-14 15:01:00,bearish
-66.8,0,84,sl,2025-08-14 18:18:00,bearish
-44.3,0,2,sl,2025-08-15 18:02:00,bullish
-51.8,0,28,sl,2025-08-15 18:36:00,bullish
-36.8,0,120,time,2025-08-18 14:09:00,bullish
43.2,1,19,tp,2025-08-18 18:29:00,bullish
-44.3,0,24,sl,2025-08-19 18:13:00,bullish
-26.8,0,1,sl,2025-08-19 18:44:00,bullish
-36.8,0,6,sl,2025-08-19 18:56:00,bullish
80.7,1,14,tp,2025-08-20 18:26:00,bullish
20.7,1,1,tp,2025-08-21 13:16:00,bullish
203.2,1,32,tp,2025-08-21 13:53:00,bullish
-111.8,0,9,sl,2025-08-21 14:31:00,bullish
-26.8,0,3,sl,2025-08-21 18:33:00,bearish
-226.8,0,27,sl,2025-08-22 13:34:00,bearish
-99.3,0,7,sl,2025-08-22 14:30:00,bearish
-71.8,0,28,sl,2025-08-25 13:06:00,bullish
43.2,1,12,tp,2025-08-25 14:53:00,bullish
-29.3,0,19,sl,2025-08-25 18:59:00,bullish
-29.3,0,6,sl,2025-08-27 13:14:00,bullish
55.7,1,7,tp,2025-08-27 13:57:00,bullish
78.2,1,93,tp,2025-08-27 14:24:00,bullish
-76.8,0,38,sl,2025-08-27 18:31:00,bullish
-254.3,0,10,sl,2025-09-02 14:06:00,bullish
215.7,1,8,tp,2025-09-05 14:21:00,bearish
-81.8,0,10,sl,2025-09-12 14:18:00,bearish
-16.8,0,11,sl,2025-09-15 13:18:00,bearish
-24.3,0,1,sl,2025-09-16 14:39:00,bullish
3.45,1,120,time,2025-09-16 18:10:00,bullish
-14.3,0,4,sl,2025-09-17 13:23:00,bearish
20.7,1,1,tp,2025-09-17 13:30:00,bullish
-39.3,0,4,sl,2025-09-17 13:57:00,bullish
-26.8,0,2,sl,2025-09-17 14:36:00,bullish
-36.8,0,4,sl,2025-09-19 14:23:00,bearish
33.2,1,6,tp,2025-09-19 14:33:00,bearish
20.7,1,6,tp,2025-09-19 18:21:00,bearish
-21.8,0,3,sl,2025-09-19 18:59:00,bearish
-64.3,0,12,sl,2025-09-22 14:18:00,bearish
-34.3,0,21,sl,2025-09-22 18:26:00,bearish
25.7,1,40,tp,2025-09-22 18:58:00,bearish
48.2,1,14,tp,2025-09-23 13:45:00,bearish
-28.3,0,120,time,2025-09-23 14:08:00,bullish
45.7,1,13,tp,2025-09-24 18:26:00,bullish
34.7,1,120,time,2025-09-24 19:02:00,bullish
-26.8,0,9,sl,2025-09-26 13:17:00,bullish
-141.8,0,16,sl,2025-09-26 13:52:00,bullish
83.2,1,5,tp,2025-09-26 14:34:00,bullish
162.7,1,120,time,2025-09-26 14:48:00,bullish
70.7,1,35,tp,2025-09-26 18:06:00,bullish
40.7,1,71,tp,2025-09-26 19:02:00,bullish
-66.8,0,5,sl,2025-09-30 13:50:00,bullish
-54.3,0,1,sl,2025-09-30 14:06:00,bullish
50.7,1,12,tp,2025-09-30 14:20:00,bullish
45.7,1,19,tp,2025-09-30 18:29:00,bullish
47.2,1,120,time,2025-10-02 14:01:00,bullish
15.7,1,7,tp,2025-10-02 18:15:00,bullish
31.45,1,120,time,2025-10-03 13:47:00,bearish
-81.8,0,18,sl,2025-10-03 18:32:00,bullish
-19.3,0,1,sl,2025-10-06 13:06:00,bearish
-49.3,0,2,sl,2025-10-06 13:31:00,bullish
78.2,1,9,tp,2025-10-06 13:35:00,bearish
-111.8,0,118,sl,2025-10-06 13:53:00,bearish
28.2,1,3,tp,2025-10-06 18:54:00,bearish
-19.3,0,3,sl,2025-10-08 13:05:00,bearish
-16.8,0,1,sl,2025-10-08 13:25:00,bearish
-21.8,0,1,sl,2025-10-08 13:31:00,bearish
-36.8,0,2,sl,2025-10-08 13:46:00,bearish
-36.8,0,6,sl,2025-10-08 14:25:00,bearish
50.7,1,7,tp,2025-10-08 14:45:00,bearish
-26.8,0,10,sl,2025-10-08 18:56:00,bearish
103.2,1,77,tp,2025-10-09 18:20:00,bullish
105.7,1,50,tp,2025-10-10 14:08:00,bearish
98.2,1,21,tp,2025-10-10 18:01:00,bullish
60.7,1,6,tp,2025-10-10 18:39:00,bearish
170.7,1,27,tp,2025-10-10 19:01:00,bearish
148.2,1,7,tp,2025-10-13 13:46:00,bullish
65.7,1,3,tp,2025-10-13 14:31:00,bullish
63.2,1,5,tp,2025-10-14 14:16:00,bullish
-91.8,0,62,sl,2025-10-14 18:36:00,bullish
-59.3,0,1,sl,2025-10-15 18:02:00,bullish
108.2,1,23,tp,2025-10-15 18:19:00,bullish
-34.3,0,3,sl,2025-10-15 18:44:00,bullish
-121.8,0,8,sl,2025-10-16 14:30:00,bearish
53.2,1,4,tp,2025-10-16 14:54:00,bearish
48.2,1,3,tp,2025-10-16 15:02:00,bearish
-76.05,0,120,time,2025-10-16 18:23:00,bearish
-46.8,0,4,sl,2025-10-17 13:11:00,bullish
-111.8,0,4,sl,2025-10-17 13:37:00,bullish
138.2,1,14,tp,2025-10-17 14:00:00,bullish
-226.8,0,23,sl,2025-10-17 14:18:00,bullish
280.7,1,50,tp,2025-10-17 14:47:00,bearish
35.7,1,3,tp,2025-10-17 18:46:00,bearish
-56.8,0,4,sl,2025-10-22 13:27:00,bullish
-54.3,0,7,sl,2025-10-22 13:56:00,bullish
-81.8,0,10,sl,2025-10-22 15:12:00,bullish
80.7,1,7,tp,2025-10-22 18:15:00,bullish
160.7,1,39,tp,2025-10-22 18:29:00,bullish
-51.8,0,6,sl,2025-10-23 13:02:00,bullish
-106.8,0,14,sl,2025-10-23 13:17:00,bearish
73.2,1,2,tp,2025-10-23 13:48:00,bullish
-114.3,0,19,sl,2025-10-23 14:01:00,bullish
-46.8,0,5,sl,2025-10-23 14:53:00,bullish
50.7,1,18,tp,2025-10-23 15:13:00,bullish
-39.3,0,87,sl,2025-10-23 18:24:00,bullish
-51.8,0,2,sl,2025-10-24 13:35:00,bearish
128.2,1,60,tp,2025-10-24 13:57:00,bearish
28.2,1,13,tp,2025-10-28 13:18:00,bullish
-81.8,0,120,time,2025-10-28 13:36:00,bullish
83.2,1,37,tp,2025-10-29 14:14:00,bearish
65.7,1,7,tp,2025-10-29 18:09:00,bearish
-106.8,0,6,sl,2025-10-30 14:48:00,bullish
-131.8,0,44,sl,2025-10-30 18:33:00,bullish
-44.3,0,4,sl,2025-11-03 19:15:00,bullish
40.7,1,9,tp,2025-11-06 14:15:00,bearish
70.7,1,4,tp,2025-11-06 14:27:00,bearish
55.7,1,1,tp,2025-11-06 14:33:00,bearish
205.7,1,12,tp,2025-11-06 14:46:00,bearish
205.7,1,21,tp,2025-11-06 15:17:00,bearish
43.2,1,2,tp,2025-11-07 14:04:00,bearish
-61.8,0,3,sl,2025-11-07 14:08:00,bearish
-94.3,0,17,sl,2025-11-07 14:14:00,bullish
255.7,1,62,tp,2025-11-07 14:44:00,bearish
190.7,1,70,tp,2025-11-07 19:48:00,bullish
23.2,1,2,tp,2025-11-10 19:01:00,bearish
28.2,1,1,tp,2025-11-10 19:11:00,bullish
-41.8,0,10,sl,2025-11-10 19:17:00,bearish
48.2,1,16,tp,2025-11-10 19:32:00,bullish
23.2,1,9,tp,2025-11-10 19:59:00,bullish
98.2,1,20,tp,2025-11-12 15:17:00,bearish
60.7,1,15,tp,2025-11-12 15:56:00,bearish
93.2,1,1,tp,2025-11-13 14:56:00,bullish
-114.3,0,11,sl,2025-11-13 15:24:00,bullish
170.7,1,98,tp,2025-11-13 19:25:00,bullish
190.7,1,27,tp,2025-11-14 14:12:00,bullish
200.7,1,20,tp,2025-11-14 15:19:00,bullish
268.2,1,32,tp,2025-11-14 15:56:00,bullish
-104.3,0,18,sl,2025-11-14 19:07:00,bearish
58.2,1,19,tp,2025-11-14 19:51:00,bearish
-41.8,0,9,sl,2025-11-17 14:19:00,bullish
108.2,1,12,tp,2025-11-17 15:18:00,bullish
-201.8,0,19,sl,2025-11-17 15:50:00,bullish
-79.3,0,15,sl,2025-11-17 19:11:00,bullish
-184.3,0,28,sl,2025-11-17 19:32:00,bullish
73.2,1,6,tp,2025-11-18 19:04:00,bullish
-179.3,0,42,sl,2025-11-18 19:43:00,bullish
73.2,1,2,tp,2025-11-19 19:25:00,bearish
-131.8,0,24,sl,2025-11-19 19:31:00,bearish
128.2,1,19,tp,2025-11-19 19:58:00,bullish
53.2,1,3,tp,2025-11-20 14:21:00,bearish
65.7,1,1,tp,2025-11-20 14:31:00,bearish
-84.3,0,11,sl,2025-11-20 15:19:00,bearish
70.7,1,2,tp,2025-11-20 15:58:00,bearish
208.2,1,38,tp,2025-11-20 19:20:00,bullish
-136.8,0,2,sl,2025-11-20 20:01:00,bullish
-94.3,0,24,sl,2025-11-21 14:07:00,bearish
293.2,1,37,tp,2025-11-21 14:41:00,bearish
173.2,1,5,tp,2025-11-21 15:21:00,bullish
183.2,1,6,tp,2025-11-21 15:31:00,bearish
-134.3,0,6,sl,2025-11-21 15:57:00,bullish
53.2,1,11,tp,2025-11-25 19:06:00,bearish
45.7,1,15,tp,2025-11-25 19:23:00,bearish
