pnl,win,bars_held,exit_type,timestamp,direction
268.2,1,21,tp,2025-01-03 15:01:00,bearish
-41.8,0,11,sl,2025-01-03 19:03:00,bearish
-31.8,0,7,sl,2025-01-03 19:30:00,bearish
15.7,1,2,tp,2025-01-03 19:50:00,bearish
23.2,1,6,tp,2025-01-03 19:55:00,bearish
-66.8,0,26,sl,2025-01-06 08:23:00,bearish
93.2,1,2,tp,2025-01-07 15:04:00,bearish
153.7,1,120,time,2025-01-07 15:53:00,bearish
40.7,1,8,tp,2025-01-07 19:27:00,bearish
-11.8,0,1,sl,2025-01-07 19:45:00,bearish
88.2,1,19,tp,2025-01-07 19:51:00,bearish
75.7,1,2,tp,2025-01-10 14:34:00,bearish
240.7,1,17,tp,2025-01-10 14:44:00,bearish
205.7,1,18,tp,2025-01-10 15:55:00,bearish
100.7,1,15,tp,2025-01-13 19:06:00,bearish
38.2,1,4,tp,2025-01-13 19:57:00,bearish
-14.3,0,1,sl,2025-01-15 14:31:00,bearish
-39.3,0,1,sl,2025-01-15 14:40:00,bearish
68.2,1,10,tp,2025-01-15 16:01:00,bearish
-44.3,0,26,sl,2025-01-15 19:53:00,bearish
28.2,1,4,tp,2025-01-16 08:11:00,bearish
-49.3,0,21,sl,2025-01-16 08:26:00,bearish
-204.3,0,85,sl,2025-01-17 15:01:00,bearish
-16.8,0,1,sl,2025-01-17 19:22:00,bearish
38.2,1,3,tp,2025-01-17 19:58:00,bearish
-101.8,0,3,sl,2025-01-21 15:17:00,bearish
-96.8,0,69,sl,2025-01-21 15:49:00,bearish
-94.3,0,96,sl,2025-01-21 19:27:00,bearish
18.2,1,1,tp,2025-01-22 15:05:00,bearish
50.7,1,5,tp,2025-01-22 16:07:00,bearish
8.2,1,3,tp,2025-01-23 19:15:00,bearish
23.2,1,30,tp,2025-01-24 08:23:00,bearish
-36.8,0,13,sl,2025-01-24 09:03:00,bearish
-91.8,0,20,sl,2025-01-24 14:34:00,bearish
33.2,1,4,tp,2025-01-24 15:18:00,bearish
15.7,1,3,tp,2025-01-24 15:48:00,bearish
10.7,1,3,tp,2025-01-24 20:04:00,bearish
225.7,1,13,tp,2025-01-28 14:35:00,bearish
-119.3,0,10,sl,2025-01-28 15:13:00,bearish
85.7,1,8,tp,2025-01-28 15:38:00,bearish
30.7,1,6,tp,2025-01-28 15:48:00,bearish
75.7,1,7,tp,2025-01-30 15:15:00,bearish
165.7,1,16,tp,2025-01-30 15:40:00,bearish
18.2,1,3,tp,2025-01-30 19:19:00,bearish
188.2,1,5,tp,2025-02-03 14:58:00,bearish
-64.3,0,4,sl,2025-02-03 15:06:00,bearish
-274.3,0,3,sl,2025-02-03 15:22:00,bearish
-11.8,0,1,sl,2025-02-03 19:41:00,bearish
30.7,1,6,tp,2025-02-03 20:01:00,bearish
-11.8,0,3,sl,2025-02-06 19:16:00,bearish
-106.8,0,54,sl,2025-02-06 19:37:00,bearish
128.2,1,29,tp,2025-02-07 15:25:00,bearish
63.2,1,13,tp,2025-02-07 19:09:00,bearish
10.7,1,1,tp,2025-02-07 19:24:00,bearish
-64.3,0,11,sl,2025-02-07 19:32:00,bearish
-31.8,0,4,sl,2025-02-10 08:21:00,bearish
35.7,1,16,tp,2025-02-10 08:41:00,bearish
-34.3,0,3,sl,2025-02-10 14:59:00,bearish
-29.3,0,4,sl,2025-02-10 15:45:00,bearish
-69.3,0,25,sl,2025-02-11 19:18:00,bearish
-54.3,0,3,sl,2025-02-12 15:14:00,bearish
-74.3,0,34,sl,2025-02-12 19:10:00,bearish
-11.8,0,1,sl,2025-02-13 08:03:00,bearish
13.2,1,1,tp,2025-02-13 08:54:00,bearish
-61.8,0,7,sl,2025-02-13 15:13:00,bearish
-29.3,0,2,sl,2025-02-13 20:08:00,bearish
13.2,1,5,tp,2025-02-14 08:04:00,bearish
18.2,1,21,tp,2025-02-14 08:15:00,bearish
24.2,1,120,time,2025-02-18 08:16:00,bearish
-51.8,0,31,sl,2025-02-19 19:29:00,bearish
-139.3,0,17,sl,2025-02-20 15:04:00,bearish
-31.8,0,5,sl,2025-02-20 15:26:00,bearish
28.2,1,1,tp,2025-02-20 15:40:00,bearish
38.2,1,1,tp,2025-02-20 15:49:00,bearish
45.7,1,5,tp,2025-02-20 15:54:00,bearish
13.2,1,1,tp,2025-02-20 19:29:00,bearish
-36.8,0,3,sl,2025-02-20 19:43:00,bearish
