regression_lookback,regression_timeframe,sl_multiplier,tp_multiplier,min_gap_atr_ratio,gate_mode,band_k,n_trades,n_candidate_bars,pf,total_pnl
10,15min,3.0,6.0,0.25,combined,2.0,1,225,inf,311.0
100,15min,3.0,10.0,0.25,position,2.0,1,125,inf,1196.0
100,15min,3.0,10.0,0.25,position,2.5,1,75,inf,1196.0
100,15min,3.0,8.0,0.25,position,2.0,1,125,inf,956.0
100,15min,3.0,8.0,0.25,position,2.5,1,75,inf,956.0
150,15min,7.0,8.0,0.25,position,2.5,1,73,inf,956.0
150,15min,7.0,10.0,0.25,position,2.5,1,73,inf,1196.0
10,15min,7.0,10.0,0.25,combined,2.0,1,225,inf,359.75
100,15min,5.0,8.0,0.25,position,2.5,1,75,inf,956.0
100,15min,5.0,8.0,0.25,position,2.0,1,125,inf,956.0
100,15min,5.0,6.0,0.25,position,2.5,1,75,inf,716.0
100,15min,5.0,6.0,0.25,position,2.0,1,125,inf,716.0
100,15min,7.0,8.0,0.25,position,2.0,1,125,inf,956.0
100,15min,7.0,8.0,0.25,position,2.5,1,75,inf,956.0
100,15min,7.0,10.0,0.25,position,2.0,1,125,inf,1196.0
100,15min,7.0,10.0,0.25,position,2.5,1,75,inf,1196.0
100,15min,7.0,6.0,0.25,position,2.5,1,75,inf,716.0
100,15min,5.0,10.0,0.25,position,2.0,1,125,inf,1196.0
100,15min,5.0,10.0,0.25,position,2.5,1,75,inf,1196.0
100,15min,7.0,6.0,0.25,position,2.0,1,125,inf,716.0
20,15min,7.0,10.0,0.25,combined,2.0,1,300,inf,289.75
20,15min,5.0,10.0,0.25,combined,2.0,1,300,inf,289.75
20,15min,7.0,6.0,0.25,combined,2.0,1,300,inf,289.75
150,15min,3.0,8.0,0.25,position,2.5,1,73,inf,956.0
150,15min,3.0,6.0,0.25,position,2.5,1,73,inf,716.0
20,15min,5.0,8.0,0.25,combined,2.0,1,300,inf,289.75
20,15min,5.0,6.0,0.25,combined,2.0,1,300,inf,289.75
20,15min,7.0,8.0,0.25,combined,2.0,1,300,inf,289.75
10,15min,7.0,8.0,0.25,combined,2.0,1,225,inf,416.0
10,15min,5.0,8.0,0.25,combined,2.0,1,225,inf,416.0
10,15min,7.0,6.0,0.25,combined,2.0,1,225,inf,311.0
100,15min,3.0,6.0,0.25,position,2.5,1,75,inf,716.0
10,15min,5.0,10.0,0.25,combined,2.0,1,225,inf,359.75
150,15min,7.0,6.0,0.25,position,2.5,1,73,inf,716.0
150,15min,5.0,10.0,0.25,position,2.5,1,73,inf,1196.0
150,15min,5.0,8.0,0.25,position,2.5,1,73,inf,956.0
10,15min,3.0,8.0,0.25,combined,2.0,1,225,inf,416.0
10,15min,5.0,6.0,0.25,combined,2.0,1,225,inf,311.0
100,15min,3.0,6.0,0.25,position,2.0,1,125,inf,716.0
150,15min,5.0,6.0,0.25,position,2.5,1,73,inf,716.0
150,15min,3.0,10.0,0.25,position,2.5,1,73,inf,1196.0
10,15min,3.0,10.0,0.25,combined,2.0,1,225,inf,359.75
150,15min,5.0,8.0,0.25,position,2.0,3,358,7.68503937007874,1698.0
150,15min,5.0,6.0,0.25,position,2.0,3,358,5.755905511811024,1208.0
150,15min,7.0,8.0,0.25,position,2.0,3,358,5.5141242937853105,1598.0
150,15min,3.0,10.0,0.25,position,2.0,4,363,4.440900562851782,1834.0
150,15min,7.0,6.0,0.25,position,2.0,3,358,4.129943502824859,1108.0
150,15min,5.0,8.0,0.25,combined,2.0,2,310,3.921259842519685,742.0
10,5min,3.0,10.0,0.25,combined,2.0,2,497,3.757401315789474,838.25
150,15min,3.0,8.0,0.25,position,2.0,4,363,3.549718574108818,1359.0
10,5min,3.0,8.0,0.25,combined,2.0,2,497,3.473684210526316,752.0
20,15min,3.0,10.0,0.35,combined,1.5,2,686,3.2664092664092665,587.0
20,15min,3.0,10.0,0.25,position,2.5,2,195,3.1556728232189974,817.0
100,15min,7.0,8.0,0.25,position,1.5,6,641,2.9928057553956835,1869.75
150,15min,5.0,6.0,0.25,combined,2.0,2,310,2.937007874015748,492.0
150,15min,7.0,8.0,0.25,combined,2.0,2,310,2.8135593220338984,642.0
20,15min,5.0,10.0,0.25,combined,1.5,4,657,2.664335664335664,714.0
150,15min,3.0,6.0,0.25,position,2.0,4,363,2.658536585365854,884.0
20,15min,3.0,8.0,0.35,combined,1.5,2,686,2.61003861003861,417.0
10,5min,3.0,6.0,0.25,combined,2.0,2,497,2.601973684210526,487.0
20,15min,3.0,8.0,0.25,position,2.5,2,195,2.5224274406332454,577.0
20,15min,5.0,8.0,0.25,combined,1.5,4,657,2.3263403263403264,569.0
10,5min,5.0,10.0,0.25,combined,2.0,2,497,2.2663690476190474,638.25
100,15min,7.0,6.0,0.25,position,1.5,6,641,2.2414068745003997,1164.75
150,15min,3.0,10.0,0.25,combined,2.0,3,315,2.196998123827392,638.0
150,15min,7.0,6.0,0.25,combined,2.0,2,310,2.1073446327683616,392.0
10,5min,5.0,8.0,0.25,combined,2.0,2,497,2.0952380952380953,552.0
20,15min,5.0,6.0,0.25,combined,1.5,4,657,1.9883449883449884,424.0
20,15min,5.0,10.0,0.35,combined,1.5,2,676,1.972027972027972,417.0
20,15min,3.0,6.0,0.35,combined,1.5,2,686,1.9536679536679538,247.0
20,15min,7.0,10.0,0.25,combined,1.5,4,657,1.9081803005008346,544.0
20,15min,5.0,10.0,0.25,position,2.5,2,195,1.9014308426073132,567.0
20,15min,3.0,6.0,0.25,position,2.5,2,195,1.8891820580474934,337.0
100,15min,5.0,8.0,0.25,combined,1.5,3,543,1.8686679174484053,463.0
100,15min,5.0,8.0,0.35,slope,1.5,39,7326,1.8546309330925124,8044.0
100,5min,7.0,10.0,0.25,position,2.5,3,286,1.831146408839779,601.75
150,5min,7.0,10.0,0.25,position,2.0,3,405,1.831146408839779,601.75
150,5min,7.0,10.0,0.25,position,2.5,3,281,1.831146408839779,601.75
150,15min,5.0,8.0,0.35,slope,1.5,30,7282,1.8107238424279375,5983.75
10,5min,7.0,8.0,0.25,combined,1.5,18,2142,1.7813125388171969,2830.5
20,5min,5.0,10.0,0.25,combined,1.5,21,2262,1.7804610318331504,3377.25
150,15min,3.0,8.0,0.25,combined,2.0,3,315,1.7560975609756098,403.0
150,15min,7.0,8.0,0.35,slope,1.5,30,7281,1.7202267266342184,5845.0
10,5min,7.0,10.0,0.25,combined,1.5,18,2142,1.6881512663032228,2493.0
20,15min,7.0,8.0,0.25,combined,1.5,4,657,1.666110183639399,399.0
20,5min,7.0,10.0,0.25,combined,1.5,21,2262,1.6605420550676222,3064.75
20,5min,3.0,10.0,0.25,combined,2.0,11,872,1.656093489148581,1277.25
20,15min,7.0,10.0,0.25,position,2.5,2,195,1.6519337016574585,472.0
10,5min,7.0,10.0,0.25,combined,2.0,2,497,1.6225142045454546,438.25
10,5min,5.0,8.0,0.25,combined,1.5,18,2182,1.6174286298289842,2265.5
100,15min,7.0,8.0,0.35,slope,1.5,39,7322,1.615124809877427,6875.25
20,5min,5.0,8.0,0.25,combined,1.5,22,2274,1.5769500674763832,2672.0
20,15min,5.0,8.0,0.35,combined,1.5,2,676,1.5757575757575757,247.0
20,5min,5.0,8.0,0.35,slope,1.5,77,17969,1.573289097059589,11015.75
10,5min,5.0,6.0,0.25,combined,2.0,2,497,1.5694444444444444,287.0
20,5min,7.0,8.0,0.25,combined,1.5,22,2274,1.5584422512670046,2617.0
20,5min,3.0,10.0,0.25,combined,1.5,22,2271,1.5480076368787337,2224.5
100,15min,5.0,8.0,0.25,position,1.5,6,643,1.5373104941917701,682.25
10,5min,7.0,6.0,0.25,combined,1.5,18,2142,1.5342626457801394,1935.5
10,5min,5.0,10.0,0.25,combined,1.5,18,2182,1.5254479798323908,1928.0
20,5min,3.0,10.0,0.25,combined,2.5,4,246,1.5242434103481939,402.75
20,15min,5.0,8.0,0.25,position,2.5,2,195,1.5198728139904611,327.0
10,5min,3.0,8.0,0.25,combined,1.5,19,2190,1.514827828531272,1831.5
20,5min,3.0,8.0,0.25,combined,2.0,11,872,1.5032746885835366,979.75
10,5min,7.0,8.0,0.25,combined,2.0,2,497,1.5,352.0
100,5min,7.0,8.0,0.25,position,2.5,3,286,1.4996546961325967,361.75
150,5min,7.0,8.0,0.25,position,2.5,3,281,1.4996546961325967,361.75
150,5min,7.0,8.0,0.25,position,2.0,3,405,1.4996546961325967,361.75
100,5min,7.0,8.0,0.25,position,1.5,7,981,1.4797104210325775,629.5
20,5min,7.0,8.0,0.25,slope,1.5,158,14611,1.4730799011835847,16038.0
150,15min,7.0,8.0,0.25,slope,1.5,59,6259,1.4667738478027867,6750.25
20,5min,3.0,6.0,0.25,combined,2.0,11,872,1.461399431964885,893.5
20,5min,3.0,8.0,0.25,combined,1.5,23,2279,1.4405231838802806,1869.25
20,15min,5.0,8.0,0.35,slope,1.5,49,11474,1.438485316846986,5674.0
10,5min,3.0,10.0,0.25,combined,1.5,19,2190,1.4283907238229094,1524.0
20,15min,7.0,6.0,0.25,combined,1.5,4,657,1.4240400667779634,254.0
20,5min,3.0,6.0,0.25,combined,2.5,4,246,1.4142480211081794,314.0
20,15min,7.0,10.0,0.35,combined,1.5,2,676,1.4123539232053421,247.0
20,5min,5.0,6.0,0.35,slope,1.5,78,18050,1.4117110205809216,7781.75
20,5min,5.0,6.0,0.25,combined,1.5,22,2274,1.406459640770396,1878.25
20,5min,5.0,10.0,0.25,combined,2.0,10,869,1.4034927519689533,883.75
20,5min,7.0,8.0,0.35,slope,1.5,77,17831,1.4028531607990664,8888.25
100,15min,5.0,6.0,0.25,combined,1.5,3,543,1.399624765478424,213.0
100,15min,5.0,6.0,0.35,slope,1.5,38,7382,1.3991341071476002,3756.75
20,5min,7.0,6.0,0.25,combined,1.5,22,2274,1.3899165953806671,1823.25
100,15min,5.0,10.0,0.35,slope,1.5,39,7305,1.388736653122933,4114.0
20,15min,3.0,10.0,0.25,combined,1.5,4,667,1.3862713241267262,237.75
10,5min,5.0,6.0,0.25,combined,1.5,18,2182,1.3687402057641207,1353.0
150,15min,5.0,6.0,0.35,slope,1.5,29,7314,1.3646648375842563,2691.5
20,5min,7.0,6.0,0.25,slope,1.5,164,14860,1.3632373287262358,12930.25
20,5min,5.0,10.0,0.35,slope,1.5,77,17897,1.356535815459328,7268.25
150,15min,5.0,10.0,0.25,position,2.0,3,358,1.3544733861834655,313.0
100,15min,7.0,8.0,0.25,combined,1.5,3,541,1.3405114401076716,253.0
150,15min,5.0,10.0,0.35,slope,1.5,30,7274,1.333284414440857,2838.75
20,5min,3.0,8.0,0.35,slope,1.5,82,18655,1.330988472971337,6152.0
20,5min,7.0,10.0,0.25,combined,2.0,10,869,1.321298087255534,747.5
